"","Symbol","vst.mean","vst.variance","vst.variance.expected","vst.variance.standardized","vst.variable","symbol.unique","prev.names"
"SMAP1","Smap1",0.486052242483982,0.792613997664772,0.891959482849507,0.888621078541211,FALSE,"Smap1","ENSMUSG00000026155"
"SDHAF4","Sdhaf4",0.0111384918679152,0.0114098334403515,0.0136460727559878,0.836125795631931,FALSE,"Sdhaf4","ENSMUSG00000026154"
"FAM135A","Fam135a",0.0943321833415476,0.13374646101559,0.125022560484025,1.06977861033873,TRUE,"Fam135a","ENSMUSG00000026153"
"LMBRD1","Lmbrd1",0.583637259733859,1.01175904821729,1.12731851816288,0.897491730967089,FALSE,"Lmbrd1","ENSMUSG00000073725"
"PHF3","Phf3",0.785805815672745,1.17010607624773,1.66297810283042,0.703620856014992,FALSE,"Phf3","ENSMUSG00000048874"
"PTP4A1","Ptp4a1",0.0355840315426318,0.038461569855393,0.0441560501357244,0.87103737171175,FALSE,"Ptp4a1","ENSMUSG00000026064"
"KHDRBS2","Khdrbs2",0.00226712666338098,0.0022622097877309,0.00258356166990391,0.875616717062936,FALSE,"Khdrbs2","ENSMUSG00000026058"
"PRIM2","Prim2",0.188072942336126,0.491833283322429,0.280367490292092,1.75424505462463,TRUE,"Prim2","ENSMUSG00000026134"
"RAB23","Rab23",0.0126170527353376,0.0154165040664311,0.0155135721345091,0.993743022739288,FALSE,"Rab23","ENSMUSG00000004768"
"BAG2","Bag2",0.0074913750616067,0.00861895263163622,0.00909035189755281,0.948142902361845,FALSE,"Bag2","ENSMUSG00000042215"
"ZFP451","Zfp451",0.236076885165106,0.318769307968217,0.36741772817071,0.867593704733019,FALSE,"Zfp451","ENSMUSG00000042197"
"BEND6","Bend6",0.00147856086742238,0.00167368115013689,0.00164394277658703,1.01808966466072,TRUE,"Bend6","ENSMUSG00000042182"
"DST","Dst",0.171315919172006,0.278021779621351,0.250632784947099,1.10927937731707,TRUE,"Dst","ENSMUSG00000026131"
"GM37233","Gm37233",0.00778708723509118,0.00812153195075196,0.00945441500575877,0.859020039400116,FALSE,"Gm37233","ENSMUSG00000102336"
"CCDC115","Ccdc115",0.0119270576638738,0.0121802864769983,0.0146381686070018,0.832090871748274,FALSE,"Ccdc115","ENSMUSG00000042111"
"IMP4","Imp4",0.043371118777723,0.0456345334915028,0.0538728683187962,0.847078221665437,FALSE,"Imp4","ENSMUSG00000026127"
"PTPN18","Ptpn18",0.218531296205027,0.282188102948888,0.335108962631096,0.842078650279281,FALSE,"Ptpn18","ENSMUSG00000026126"
"4930568A12RIK","4930568A12Rik",0.000689995071463775,0.000689586951350528,0.000734170291442783,0.939273843395869,FALSE,"4930568A12Rik","ENSMUSG00000101223"
"ARHGEF4","Arhgef4",0.0217841301133563,0.0301839222441786,0.0270273680661259,1.11679103086656,TRUE,"Arhgef4","ENSMUSG00000037509"
"GM38336","Gm38336",0.00344997535731888,0.00363557283739095,0.0040390534529445,0.900105155761332,FALSE,"Gm38336","ENSMUSG00000104002"
"FAM168B","Fam168b",0.465253819615574,0.788840888349253,0.843879378447364,0.934779197710243,FALSE,"Fam168b","ENSMUSG00000037503"
"PLEKHB2","Plekhb2",0.160473139477575,0.191122804508136,0.231654291584341,0.825034594442404,FALSE,"Plekhb2","ENSMUSG00000026123"
"HS6ST1","Hs6st1",0.254115327747659,0.405450580152451,0.401311741487564,1.01031327578296,TRUE,"Hs6st1","ENSMUSG00000045216"
"GM33280","Gm33280",0.00019714144898965,0.000197122014698543,0.000197981570461901,0.995658405166944,FALSE,"Gm33280","ENSMUSG00000102202"
"UGGT1","Uggt1",0.336717594874322,0.407509138003688,0.563764484684018,0.722835774644601,FALSE,"Uggt1","ENSMUSG00000037470"
"NEURL3","Neurl3",2.00995564317398,5.11947895110816,6.15786338554083,0.831372609390589,FALSE,"Neurl3","ENSMUSG00000047180"
"ARID5A","Arid5a",0.48477082306555,0.645100265394698,0.888976078784664,0.725666618922519,FALSE,"Arid5a","ENSMUSG00000037447"
"4930403P22RIK","4930403P22Rik",0.00128141941843273,0.00127990354372638,0.0014147155933766,0.904707313412402,FALSE,"4930403P22Rik","ENSMUSG00000102762"
"KANSL3","Kansl3",0.181074420896994,0.212181219322968,0.267919616851985,0.791958505375844,FALSE,"Kansl3","ENSMUSG00000010453"
"LMAN2L","Lman2l",0.0519467718087728,0.0585197211412433,0.0649861077538774,0.90049586232917,FALSE,"Lman2l","ENSMUSG00000001143"
"CNNM4","Cnnm4",0.0585510103499261,0.0681408418623957,0.073836547535963,0.922860617625801,FALSE,"Cnnm4","ENSMUSG00000037408"
"CNNM3","Cnnm3",0.0721537703302119,0.0827270741441534,0.0927349804087354,0.892080569592267,FALSE,"Cnnm3","ENSMUSG00000001138"
"ANKRD23","Ankrd23",0.0282897979300148,0.0300552866713412,0.0350882836025171,0.856561894329458,FALSE,"Ankrd23","ENSMUSG00000067653"
"ANKRD39","Ankrd39",0.06761951700345,0.0794176864487015,0.0863639730562921,0.919569626526307,FALSE,"Ankrd39","ENSMUSG00000079610"
"SEMA4C","Sema4c",0.471266633809759,0.693008105654139,0.857704234207752,0.80798027806664,FALSE,"Sema4c","ENSMUSG00000026121"
"COX5B","Cox5b",0.096895022178413,0.103485034818477,0.128840356725557,0.803203572611243,FALSE,"Cox5b","ENSMUSG00000061518"
"ACTR1B","Actr1b",0.0775751601774273,0.0873371795091057,0.100478529675408,0.869212356025167,FALSE,"Actr1b","ENSMUSG00000037351"
"4933424G06RIK","4933424G06Rik",0.00295712173484475,0.0029486678182132,0.00342762404125551,0.860265823416599,FALSE,"4933424G06Rik","ENSMUSG00000102416"
"ZAP70","Zap70",0.196550024642681,0.23916396400458,0.295456629738784,0.809472321592616,FALSE,"Zap70","ENSMUSG00000026117"
"TMEM131","Tmem131",1.18324297683588,4.98682485272701,2.89758219727114,1.72102964237686,TRUE,"Tmem131","ENSMUSG00000026116"
"VWA3B","Vwa3b",0.0055199605717102,0.0058843535299669,0.00664205287265785,0.885923921832957,FALSE,"Vwa3b","ENSMUSG00000050122"
"CNGA3","Cnga3",0.00266140956136028,0.00285174900846247,0.0030644618884082,0.930587200072434,FALSE,"Cnga3","ENSMUSG00000026114"
"INPP4A","Inpp4a",0.188171513060621,0.249781208750717,0.280542869687885,0.890349517806676,FALSE,"Inpp4a","ENSMUSG00000026113"
"COA5","Coa5",0.0390340068999507,0.043626038374174,0.0484176509995044,0.901035830396242,FALSE,"Coa5","ENSMUSG00000026112"
"UNC50","Unc50",0.0493839329719073,0.0514844883262094,0.0616333452995617,0.835334964798285,FALSE,"Unc50","ENSMUSG00000026111"
"MGAT4A","Mgat4a",2.15160177427304,5.5158553303596,6.80172028771722,0.810950038671925,FALSE,"Mgat4a","ENSMUSG00000026110"
