,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene_name
VKORC1,2.09034291448772e-17,-0.192318993804754,0.045,0.256,3.59455367575308e-13,VKORC1
FAM69A,2.15329766502981e-17,0.346072969548083,0.104,0.127,3.70281066478527e-13,FAM69A
GSDMD,2.18181639697942e-17,-0.194625281999425,0.075,0.296,3.75185147624582e-13,GSDMD
UIMC1,2.21672998770478e-17,0.210678915654283,0.097,0.189,3.81188888685715e-13,UIMC1
LRRCC1,2.2221253383621e-17,0.517339817874796,0.142,0.132,3.82116673184746e-13,LRRCC1
DUSP2,2.25373893525118e-17,-0.935935106722595,0.194,0.57,3.87552947305792e-13,DUSP2
GM14548,2.26592828167831e-17,0.441851538742466,0.119,0.158,3.89649027317402e-13,GM14548
ZFX,2.27193699500915e-17,0.159214389388825,0.119,0.227,3.90682285661773e-13,ZFX
CCNG1,2.28365620939735e-17,-0.304181162955788,0.104,0.375,3.92697521767969e-13,CCNG1
CAST,2.31605616047962e-17,-0.100813814514597,0.082,0.272,3.98269017356076e-13,CAST
CD63,2.37355922429441e-17,0.366108503246288,0.507,0.745,4.08157244209667e-13,CD63
MRPL48,2.38239133180042e-17,-0.182062753961747,0.045,0.237,4.096760134164e-13,MRPL48
TUBB4B,2.38680821364847e-17,-0.735222462767375,0.045,0.349,4.10435540418991e-13,TUBB4B
VEGFA,2.39163858758997e-17,0.7880845074668,0.209,0.208,4.11266171521971e-13,VEGFA
RBMXL1,2.41604598201413e-17,-0.430436828714672,0.03,0.287,4.15463267067149e-13,RBMXL1
PRR7,2.42623165901603e-17,-0.267038634519232,0.104,0.363,4.17214796084396e-13,PRR7
ZFP871,2.43821481789799e-17,0.280601495041893,0.119,0.163,4.19275420085738e-13,ZFP871
ACLY,2.4580050326543e-17,0.0357463110678984,0.082,0.226,4.22678545415234e-13,ACLY
MMP25,2.46434877965505e-17,0.672462757750887,0.119,0.127,4.23769416149482e-13,MMP25
THAP2,2.48002013770078e-17,0.05764353095608,0.127,0.29,4.26464262879026e-13,THAP2
SEPT1,2.60195978373929e-17,-0.473136523021362,0.09,0.387,4.47433004411809e-13,SEPT1
FAM111A,2.64058229859146e-17,-0.364803527232747,0.007,0.214,4.54074532065788e-13,FAM111A
RNPC3,2.67496185808991e-17,0.413621986165081,0.119,0.143,4.59986441117141e-13,RNPC3
MTX1,2.68137927851657e-17,0.243534040425818,0.119,0.208,4.6108998073371e-13,MTX1
NIP7,2.6879582676935e-17,-0.114568318739025,0.045,0.213,4.62221303712574e-13,NIP7
RNF115,2.71309837977397e-17,0.224158315892551,0.246,0.406,4.66544397385931e-13,RNF115
TSG101,2.71352579329846e-17,-0.42600648168846,0.052,0.322,4.66617895415603e-13,TSG101
SPECC1L,2.74341418596589e-17,0.432724267050455,0.134,0.163,4.71757503418694e-13,SPECC1L
ATP6V0A2,2.74718009592199e-17,0.464413604462206,0.127,0.145,4.72405089294745e-13,ATP6V0A2
OSBPL11,2.76694494951701e-17,0.148849024888614,0.104,0.233,4.75803853518946e-13,OSBPL11
ACTN1,2.79209529186104e-17,0.580798824798036,0.351,0.484,4.80128706388425e-13,ACTN1
BBS9,2.82446483271826e-17,0.628792382422697,0.134,0.099,4.85694972634232e-13,BBS9
CLK3,2.86043247276913e-17,0.281659175656522,0.119,0.192,4.9187996801738e-13,CLK3
LRRFIP2,2.860659651396e-17,0.180168918177215,0.097,0.182,4.91919033654057e-13,LRRFIP2
TRIM33,2.97251660195687e-17,0.391750630607976,0.112,0.134,5.11153954872503e-13,TRIM33
MAF1,2.97798653812864e-17,-0.551770089447822,0.03,0.315,5.12094565096602e-13,MAF1
SKIV2L,3.03416745996024e-17,0.200237627634151,0.075,0.158,5.21755436414762e-13,SKIV2L
TRPV2,3.0637983617901e-17,0.268807136738145,0.127,0.22,5.26850766293426e-13,TRPV2
ANAPC4,3.2035898390405e-17,0.196815855699279,0.067,0.155,5.50889308721405e-13,ANAPC4
CCDC107,3.21331764166394e-17,-0.00463367048932373,0.082,0.244,5.5256210166053e-13,CCDC107
CREBRF,3.24927622450021e-17,0.40670338909907,0.134,0.16,5.58745539565057e-13,CREBRF
TCF3,3.28487318849871e-17,0.0162524038557078,0.119,0.274,5.64866793494239e-13,TCF3
DDA1,3.29267801318361e-17,-0.560539305605362,0.045,0.343,5.66208911147054e-13,DDA1
MRPL36,3.31301776488789e-17,-0.581656667045775,0.015,0.294,5.69706534850121e-13,MRPL36
QARS,3.41546086359361e-17,0.0395419866655403,0.134,0.286,5.87322650103558e-13,QARS
TRAPPC1,3.43216022083328e-17,-0.509359504393971,0.03,0.306,5.9019427157449e-13,TRAPPC1
IL10RB,3.43225685158545e-17,0.108475082383313,0.112,0.239,5.90210888198634e-13,IL10RB
TSPAN3,3.43677964878864e-17,0.377104928743764,0.582,0.817,5.90988628405694e-13,TSPAN3
UQCC3,3.44480834987611e-17,-0.43375918822989,0.03,0.282,5.92369243844695e-13,UQCC3
CLEC16A,3.45292556369407e-17,0.623918716618342,0.157,0.083,5.93765079932831e-13,CLEC16A
ANAPC2,3.46575658118444e-17,-0.0841336724884737,0.082,0.274,5.95971501700476e-13,ANAPC2
TSC22D4,3.48309232205736e-17,-0.391681620316917,0.045,0.296,5.98952555700984e-13,TSC22D4
SPIB,3.50438602460171e-17,-0.42120802781146,0.075,0.348,6.0261422079051e-13,SPIB
TMED3,3.51922417521948e-17,-0.413931295578472,0.06,0.329,6.05165789170742e-13,TMED3
ARHGAP6,3.58705157502675e-17,0.739648642117025,0.127,0.106,6.168293888416e-13,ARHGAP6
UBXN6,3.68587137014915e-17,-0.539762127682276,0.015,0.282,6.33822440810848e-13,UBXN6
PHAX,3.6886647959068e-17,-0.321939079838528,0.037,0.27,6.34302798304133e-13,PHAX
ACP1,3.70888847788244e-17,-0.365648056851616,0.045,0.29,6.37780462656664e-13,ACP1
NUDT16L1,3.70933311038439e-17,-0.288315306741265,0.015,0.216,6.378569216617e-13,NUDT16L1
TRAPPC6A,3.74910943639875e-17,-0.560323524791308,0.03,0.312,6.44696858683129e-13,TRAPPC6A
MRPS26,3.76552035210284e-17,-0.432144969751457,0.03,0.283,6.47518879747604e-13,MRPS26
RNGTT,3.77548197486293e-17,0.326641307941388,0.112,0.176,6.49231880397429e-13,RNGTT
PDE4D,3.85425998270638e-17,0.818346991957411,0.142,0.073,6.6277854662619e-13,PDE4D
PCBD2,3.86130107317622e-17,-0.46447716246748,0.015,0.269,6.63989332543383e-13,PCBD2
