p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.000201077167243677,0.0492603041664489,0.248,0.169,1,1,OGT
0.0002014014318654,-0.222697447042703,0.278,0.324,1,1,GUK1
0.000201516824280083,0.142496456849495,0.154,0.071,1,1,RAB12
0.000201910727966508,0.18849080250029,0.985,0.959,1,1,NACA
0.000202467941335831,-0.114630958254245,0.256,0.235,1,1,DCAF12
0.000202887513108887,0.251345532966215,0.143,0.072,1,1,PLCB2
0.000203792502066781,-0.201614589975681,0.188,0.236,1,1,SDHAF4
0.000204240595742702,0.165238939733392,0.109,0.04,1,1,GM47662
0.000204620192823897,-0.206679946583341,0.12,0.157,1,1,ATIC
0.000205861027346196,-0.00346140241911219,0.248,0.179,1,1,EBAG9
0.000205870564476991,-0.245705983884098,0.602,0.639,1,1,ILK
0.000208494633507964,-0.0406801245377741,0.252,0.196,1,1,ASAP2
0.000209290799894251,-0.208086209536948,0.605,0.625,1,1,FAM96B
0.000209552865566028,-0.119105636928221,0.169,0.165,1,1,GMPR2
0.000209854311609317,-0.171037209588543,0.398,0.414,1,1,AK6
0.000210894401804576,-0.271495338322195,0.143,0.239,1,1,TRPV2
0.000211190763263051,-0.206965717670017,0.071,0.151,1,1,POLE3
0.000211407436549637,-0.227378500802143,0.075,0.168,1,1,PDS5B
0.000211715162524797,0.134232125434177,0.729,0.601,1,1,TMEM59
0.000212144850256491,-0.264477100894939,0.271,0.333,1,1,NDUFS6
0.000214028564838956,0.0441420786908822,0.361,0.265,1,1,DPF2
0.000214703326498824,-0.0705613116677897,0.222,0.188,1,1,UIMC1
0.00021504740092878,-0.220295076324308,0.064,0.145,1,1,PRPF4
0.000218210723536221,-0.204712972343119,0.372,0.396,1,1,ERP44
0.000219963026061659,-0.0704647073926618,0.489,0.433,1,1,COPA
0.000220366153912371,-0.266109054911361,0.15,0.234,1,1,SMIM24
0.000220797926843629,-0.213432966524082,0.105,0.177,1,1,FANCL
0.000222319580923437,0.0395778827012539,0.109,0.053,1,1,NHLRC3
0.000225706594769426,0.140174784668304,0.41,0.291,1,1,NCOA3
0.000229819475358443,0.0982890693985666,0.248,0.156,1,1,SEPT2
0.000230815166629031,0.12986823453621,0.113,0.043,1,1,FMO5
0.000230905947797399,-0.217435237899311,0.323,0.367,1,1,CHIC2
0.000231072668708394,-0.197104920426999,0.165,0.199,1,1,CBX5
0.000231478305301281,-0.202712524930865,0.098,0.176,1,1,TIMM10
0.000232116857844607,-0.23417888784954,0.086,0.157,1,1,XPO7
0.000234213392728551,-0.239293796415982,0.579,0.604,1,1,SRP9
0.000234576568796269,-0.224971254034023,0.233,0.282,1,1,PTPN11
0.000235071119411749,-0.292577625336984,0.267,0.343,1,1,ISY1
0.000235142340272991,-0.195866148355626,0.045,0.125,1,1,ITGA6
0.000237372821988272,-0.247802033102511,0.143,0.226,1,1,LYAR
0.000237839561023367,0.148328661226562,0.549,0.415,1,1,HCFC1R1
0.000238011619262322,-0.288618332121724,0.414,0.53,1,1,SARNP
0.000242261013547314,-0.264063913878007,0.098,0.194,1,1,DOCK1
0.000242321493166989,0.197338716209576,0.158,0.074,1,1,DAO
0.000244019465310775,-0.229338711036859,0.32,0.363,1,1,PEX16
0.000245113598433922,-0.0337145835099741,0.229,0.18,1,1,GATD1
0.000245821267827827,-0.240851795419508,0.387,0.422,1,1,CFDP1
0.00024639239158384,-0.237505052171918,0.218,0.281,1,1,WDR61
0.000247157878263027,-0.261998438661699,0.376,0.422,1,1,NKTR
0.000247767290495013,-0.137226918070014,0.18,0.184,1,1,FAM114A2
0.000249727407069997,0.218657851005505,0.117,0.049,1,1,CLCN5
0.000250332203922429,-0.282536780520568,0.244,0.321,1,1,RNF40
0.000251185834209951,-0.227878859421466,0.218,0.275,1,1,SRRT
0.000252751604611398,-0.236597204156175,0.173,0.222,1,1,RABL6
0.000252833150886353,-0.225712931763324,0.094,0.156,1,1,TXLNA
0.000254741521996973,-0.190594186535489,0.41,0.437,1,1,LLPH
0.000255632827113678,-0.291842311575744,0.278,0.381,1,1,NRP2
0.000255745111264652,-0.204815786486109,0.068,0.14,1,1,THOC6
0.000255788718973254,-0.183322233291993,0.034,0.105,1,1,PPP1R13B
0.000255915272958343,0.132548124768674,0.139,0.062,1,1,SFI1
0.000256586331413648,0.0040022947499414,0.538,0.433,1,1,POLR2A
0.000256747411202194,-0.209552078078573,0.451,0.453,1,1,ATP6AP2
0.0002582712608787,0.158302083510392,0.992,0.996,1,1,GM10076
0.000258895198734679,-0.13357954417448,0.15,0.156,1,1,ANAPC15
