,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4530,1.15787920340605e-25,0.785187451148288,0.842,0.564,1.99108907817704e-21,1,GLIPR1
4502,3.09919785106652e-27,0.784289480755916,0.831,0.518,5.32938062469399e-23,1,MXD1
4371,1.06202094457274e-49,0.784111432648188,1,1,1.82625121628729e-45,1,TMSB4X
4670,2.14964972774482e-20,0.78164988449497,0.602,0.329,3.69653767182999e-16,1,NRIP1
4489,2.37695448635636e-28,0.779784695899668,0.492,0.18,4.08741093473839e-24,1,LGMN
4748,4.09517869844298e-18,0.772442746721323,0.376,0.129,7.04206928984256e-14,1,ACKR3
4451,2.7777497352003e-32,0.77212084310461,0.568,0.188,4.77661844465043e-28,1,RALGAPA2
4443,4.40628958060868e-33,0.770756593389765,0.312,0.039,7.57705556281469e-29,1,IDO1
4543,7.149412594886e-25,0.762332667091923,0.665,0.348,1.2294129898166e-20,1,CTNNA1
4481,3.94873881512204e-29,0.762233293126707,0.936,0.731,6.79025126648386e-25,1,BIRC2
4580,3.30552726136388e-23,0.759917902093506,0.425,0.133,5.68418467864133e-19,1,GCLC
4365,2.92676958017035e-51,0.755652372850332,1,0.99,5.03287297006093e-47,1,H2-K1
4485,1.06065826465773e-28,0.755619662805748,0.831,0.559,1.82390795190543e-24,1,CCNI
4661,1.24820013866787e-20,0.755268161298197,0.508,0.22,2.14640495845327e-16,1,ST8SIA4
4553,2.99490949797715e-24,0.754925217475301,0.816,0.537,5.15004637272151e-20,1,SLC4A8
4423,2.91088396014356e-37,0.752940338399981,0.474,0.105,5.00555605786287e-33,1,GPM6B
4450,2.44087280582376e-32,0.751070304622029,0.274,0.03,4.19732487689454e-28,1,2200002D01RIK
4654,6.6534622209594e-21,0.744214837204476,0.579,0.288,1.14412936351618e-16,1,ARHGAP31
4494,5.24481776465069e-28,0.738655191719646,0.707,0.35,9.01898862809333e-24,1,CCNG2
4549,1.56572385291157e-24,0.736139526381288,0.737,0.449,2.69241873746673e-20,1,DAPP1
5130,1.27682858115239e-11,0.733654773505755,0.237,0.081,2.19563442814965e-07,1,KRT8
4519,4.3497602681002e-26,0.732820500227561,0.481,0.166,7.4798477570251e-22,1,NLRC5
4526,6.90321576496564e-26,0.726853933131579,0.85,0.629,1.18707698294349e-21,1,BRK1
4779,2.85878759438094e-17,0.726492346727253,0.53,0.279,4.91597114729747e-13,1,CDCP1
4585,3.81899940327801e-23,0.726485791164115,0.628,0.317,6.56715137387686e-19,1,DOK1
4558,5.39092173502982e-24,0.72526572332912,0.504,0.193,9.27022901555728e-20,1,GRINA
4542,6.05052198408278e-25,0.722952937650943,0.455,0.147,1.04044776038287e-20,1,GSTT2
4447,1.02522572232659e-32,0.722420406386529,0.981,0.885,1.7629781521128e-28,1,TRAF1
4500,2.90706246632468e-27,0.721994825832371,0.35,0.086,4.99898461709192e-23,1,TCIRG1
4579,2.75926244942071e-23,0.719189329922061,0.545,0.239,4.74482770802385e-19,1,TBC1D10A
4595,1.16246895543109e-22,0.717672369852587,0.5,0.192,1.9989816157593e-18,1,CBLB
